Código EAN,Produto,Categoria 1,Categoria 2
7896065870718,"ENERG NIGHTPOWER LT 269ml TRADICIONAL","BEBIDAS","ENERGETICO"
7896065870725,"ENERG NIGHTPOWER LT 269ml TRADICIONAL","BEBIDAS","ENERGETICO"
7896065890563,"ENERG NIGHTPOWER PET 2000ml LARANJA","BEBIDAS","ENERGETICO"
7896065890570,"ENERG NIGHTPOWER PET 2000ml MACA VERDE","BEBIDAS","ENERGETICO"
22555,"ENERG NIGHTPOWER PET 2000ml MELANCIA","BEBIDAS","ENERGETICO"
9002490247379,"ENERG REDBULL LT 250ml MELANCIA","BEBIDAS","ENERGETICO"
9002490247386,"ENERG REDBULL LT 250ml MELANCIA","BEBIDAS","ENERGETICO"
9002490250270,"ENERG REDBULL LT 250ml PITAYA","BEBIDAS","ENERGETICO"
9002490250492,"ENERG REDBULL LT 250ml PITAYA","BEBIDAS","ENERGETICO"
9002490280901,"ENERG REDBULL LT 250ml SUGAR FREE POMELO","BEBIDAS","ENERGETICO"
9002490280925,"ENERG REDBULL LT 250ml SUGAR FREE POMELO","BEBIDAS","ENERGETICO"
9002490275013,"ENERG REDBULL LT 250ml SUMMER MARACUJA E MELAO","BEBIDAS","ENERGETICO"
9002490280932,"ENERG REDBULL LT 250ml SUMMER MARACUJA E MELAO","BEBIDAS","ENERGETICO"
9002490258825,"ENERG REDBULL LT 250ml SUMMER MORANGO E PESSEGO","BEBIDAS","ENERGETICO"
9002490268121,"ENERG REDBULL LT 250ml SUMMER MORANGO E PESSEGO","BEBIDAS","ENERGETICO"
611269991000,"ENERG REDBULL LT 250ml TRADICIONAL","BEBIDAS","ENERGETICO"
9002490206147,"ENERG REDBULL LT 250ml TRADICIONAL","BEBIDAS","ENERGETICO"
9002490225216,"ENERG REDBULL LT 250ml TRADICIONAL","BEBIDAS","ENERGETICO"
9002490257989,"ENERG REDBULL LT 250ml TRADICIONAL","BEBIDAS","ENERGETICO"
9002490229009,"ENERG REDBULL LT 250ml TROPICAL EDITION","BEBIDAS","ENERGETICO"
9002490229160,"ENERG REDBULL LT 250ml TROPICAL EDITION","BEBIDAS","ENERGETICO"
1220000250055,"ENERG REIGN LT 473ml LEMON","BEBIDAS","ENERGETICO"
1220000250079,"ENERG REIGN LT 473ML MELANCIA","BEBIDAS","ENERGETICO"
9002490275020,"ENERG ZERO REDBULL 250ml F.VERMELHAS","BEBIDAS","ENERGETICO"
611269101713,"ENERG ZERO REDBULL LT 250ml SUGAR FREE","BEBIDAS","ENERGETICO"
9002490225094,"ENERG ZERO REDBULL LT 250ml SUGAR FREE","BEBIDAS","ENERGETICO"
7898915949698,"ENERGETICO DOPAMINA 269ml","BEBIDAS","ENERGETICO"
70847022305,"ENERGETICO MONSTER 473ML  ABSOLUTELY ZERO","BEBIDAS","ENERGETICO"
70847022527,"ENERGETICO MONSTER 473ML  ABSOLUTELY ZERO","BEBIDAS","ENERGETICO"
7898938890113,"ENERGETICO MONSTER 473ML  FIESTA MANGO","BEBIDAS","ENERGETICO"
7898938890137,"ENERGETICO MONSTER 473ML  FIESTA MANGO","BEBIDAS","ENERGETICO"
1220000250147,"ENERGETICO MONSTER 473ML  KHAOTIC","BEBIDAS","ENERGETICO"
10070847000607,"ENERGETICO MONSTER 473ML  KHAOTIC","BEBIDAS","ENERGETICO"
70847033301,"ENERGETICO MONSTER 473ML  MANGO","BEBIDAS","ENERGETICO"
70847033318,"ENERGETICO MONSTER 473ML  MANGO","BEBIDAS","ENERGETICO"
1220000250222,"ENERGETICO MONSTER 473ML  MELANCIA","BEBIDAS","ENERGETICO"
10070847000911,"ENERGETICO MONSTER 473ML  MELANCIA","BEBIDAS","ENERGETICO"
1220000250031,"ENERGETICO MONSTER 473ML  PACIF PUNCH","BEBIDAS","ENERGETICO"
10070847002205,"ENERGETICO MONSTER 473ML  PACIF PUNCH","BEBIDAS","ENERGETICO"
7898938890045,"ENERGETICO MONSTER 473ML  PIPELINE PUNCH","BEBIDAS","ENERGETICO"
17898938890059,"ENERGETICO MONSTER 473ML  PIPELINE PUNCH","BEBIDAS","ENERGETICO"
7898938890144,"ENERGETICO MONSTER 473ML  RIO PUNCH","BEBIDAS","ENERGETICO"
70847022015,"ENERGETICO MONSTER 473ML  TRADICIONAL","BEBIDAS","ENERGETICO"
70847022503,"ENERGETICO MONSTER 473ML  TRADICIONAL","BEBIDAS","ENERGETICO"
70847022206,"ENERGETICO MONSTER 473ML  ULTRA","BEBIDAS","ENERGETICO"
10070847022210,"ENERGETICO MONSTER 473ML  ULTRA","BEBIDAS","ENERGETICO"
1220000250000,"ENERGETICO MONSTER 473ML  ULTRA PARAD","BEBIDAS","ENERGETICO"
10070847001901,"ENERGETICO MONSTER 473ML  ULTRA PARAD","BEBIDAS","ENERGETICO"
7898938890090,"ENERGETICO MONSTER 473ML  ULTRA PEACHY KEEN","BEBIDAS","ENERGETICO"
17898938890097,"ENERGETICO MONSTER 473ML  ULTRA PEACHY KEEN","BEBIDAS","ENERGETICO"
70847033929,"ENERGETICO MONSTER 473ML  ULTRA VIOLET","BEBIDAS","ENERGETICO"
7898938890076,"ENERGETICO MONSTER 473ML  ZERO","BEBIDAS","ENERGETICO"
7898938890083,"ENERGETICO MONSTER 473ML  ZERO","BEBIDAS","ENERGETICO"
7897395099558,"ENERGETICO TNT LT 269ml ACAI/GUARANA","BEBIDAS","ENERGETICO"
7897395099565,"ENERGETICO TNT LT 269ml ACAI/GUARANA","BEBIDAS","ENERGETICO"
7897395001797,"ENERGETICO TNT LT 269ml ACAI/GUARANA ZERO","BEBIDAS","ENERGETICO"
7898377662272,"ENERGETICO TNT LT 269ml FOCUS PINK","BEBIDAS","ENERGETICO"
7898377662289,"ENERGETICO TNT LT 269ml FOCUS PINK","BEBIDAS","ENERGETICO"
7897395001650,"ENERGETICO TNT LT 269ml JUICE MANGO","BEBIDAS","ENERGETICO"
7897395001667,"ENERGETICO TNT LT 269ml JUICE MANGO","BEBIDAS","ENERGETICO"
7897395033002,"ENERGETICO TNT LT 269ml MACA VERDE","BEBIDAS","ENERGETICO"
7897395033033,"ENERGETICO TNT LT 269ml MACA VERDE","BEBIDAS","ENERGETICO"
7897395001810,"ENERGETICO TNT LT 269ml MACA VERDE ZERO","BEBIDAS","ENERGETICO"
7897395031602,"ENERGETICO TNT LT 269ml ORIGINAL","BEBIDAS","ENERGETICO"
7897395031619,"ENERGETICO TNT LT 269ml ORIGINAL","BEBIDAS","ENERGETICO"
7897395031657,"ENERGETICO TNT LT 269ml ORIGINAL ZERO","BEBIDAS","ENERGETICO"
7897395033057,"ENERGETICO TNT LT 269ml TANGERINA","BEBIDAS","ENERGETICO"
7897395033064,"ENERGETICO TNT LT 269ml TANGERINA","BEBIDAS","ENERGETICO"
7897395001841,"ENERGETICO TNT LT 269ml TANGERINA ZERO","BEBIDAS","ENERGETICO"
7897395002497,"ENERGETICO TNT LT 473ml ACAI/GUARANA ZERO","BEBIDAS","ENERGETICO"
7898377662029,"ENERGETICO TNT LT 473ml ACAI/GUARANA ZERO","BEBIDAS","ENERGETICO"
7897395000363,"ENERGETICO TNT LT 473ml FOCUS","BEBIDAS","ENERGETICO"
7897395000370,"ENERGETICO TNT LT 473ml FOCUS","BEBIDAS","ENERGETICO"
7897395001681,"ENERGETICO TNT LT 473ml JUICE MANGO","BEBIDAS","ENERGETICO"
7897395001698,"ENERGETICO TNT LT 473ml JUICE MANGO","BEBIDAS","ENERGETICO"
7897395002480,"ENERGETICO TNT LT 473ml MACA VERDE ZERO","BEBIDAS","ENERGETICO"
7898377662050,"ENERGETICO TNT LT 473ml MACA VERDE ZERO","BEBIDAS","ENERGETICO"
7897395031626,"ENERGETICO TNT LT 473ml ORIGINAL","BEBIDAS","ENERGETICO"
7897395033019,"ENERGETICO TNT LT 473ml ORIGINAL","BEBIDAS","ENERGETICO"
7897395001735,"ENERGETICO TNT LT 473ml ORIGINAL ZERO","BEBIDAS","ENERGETICO"
7897395002459,"ENERGETICO TNT LT 473ml ORIGINAL ZERO","BEBIDAS","ENERGETICO"
7899465200390,"ENERGETICO VULCANO 473ml TRAD","BEBIDAS","ENERGETICO"
7899465202042,"ENERGETICO VULCANO 473ml TRAD ZERO","BEBIDAS","ENERGETICO"
732,"ENROLADINHO CALABRESA C/ QUEIJO","PADARIA","SALGADOS"
916,"ENROLADINHO MISTO","PADARIA","SALGADOS"
827,"ENROLADINHO SALSICHA","PADARIA","SALGADOS"
7896740020070,"ENVELOPE 200X280 OURO C/250 SCRITY SKO028","BAZAR","MATERIAL ESCOLAR"
7898563360708,"ENVELOPE 229X324 A4 OURO C/100 SCRITY SKO332","BAZAR","MATERIAL ESCOLAR"
7898026980016,"ENVELOPE FORONI 229X324 C/100","BAZAR","MATERIAL ESCOLAR"
18545,"ENVELOPE FORONI P/CARTA 114X162 C/100","BAZAR","MATERIAL ESCOLAR"
8705,"ENVELOPE IPECOL P/ CARTA C/100","BAZAR","MATERIAL ESCOLAR"
7891024030806,"ENX BUCAL COLG  PLAX 250ML KIDS MINIONS(E)","PERFUMARIA","HIGIENE PESSOAL"
7509546662947,"ENX BUCAL COLGATE NAT 500ML CARVAO","PERFUMARIA","HIGIENE PESSOAL"
7891024040034,"ENX BUCAL COLGATE PLAX 180ML FRESH MINT(E) ANTIC","PERFUMARIA","HIGIENE PESSOAL"
7891024039625,"ENX BUCAL COLGATE PLAX 180ML ICE INFINITY(E) ANT","PERFUMARIA","HIGIENE PESSOAL"
7891024136300,"ENX BUCAL COLGATE PLAX 250ML CLASSIC (VM)","PERFUMARIA","HIGIENE PESSOAL"
7891024029886,"ENX BUCAL COLGATE PLAX 250ML FRESH MINT","PERFUMARIA","HIGIENE PESSOAL"
7891024136409,"ENX BUCAL COLGATE PLAX 250ML FRESH MINT","PERFUMARIA","HIGIENE PESSOAL"
7509546679525,"ENX BUCAL COLGATE PLAX 250ML ODOR CONTROL","PERFUMARIA","HIGIENE PESSOAL"
7891024131183,"ENX BUCAL COLGATE PLAX 500ML FRESH MINT (VERDE)","PERFUMARIA","HIGIENE PESSOAL"
7891024136133,"ENX BUCAL COLGATE PLAX 500ML ICE","PERFUMARIA","HIGIENE PESSOAL"
7891024027622,"ENX BUCAL COLGATE PLAX 500ML ICE INFINITY","PERFUMARIA","HIGIENE PESSOAL"
7509546679532,"ENX BUCAL COLGATE PLAX 500ML ODOR CONTROL","PERFUMARIA","HIGIENE PESSOAL"
7891024131459,"ENX BUCAL COLGATE PLAX ANT (L500ML/P350ML) CLASS","PERFUMARIA","HIGIENE PESSOAL"
7896269691348,"ENX BUCAL DENTICS 500ML CLASSIC AZ L500P350ML","PERFUMARIA","HIGIENE PESSOAL"
7896269691355,"ENX BUCAL DENTICS 500ML COOL MINT L500P350ML","PERFUMARIA","HIGIENE PESSOAL"
7896269691423,"ENX BUCAL DENTICS 500ML S/ALCOOL L500P350ML","PERFUMARIA","HIGIENE PESSOAL"
7896269691362,"ENX BUCAL DENTICS MINT L500P350ML","PERFUMARIA","HIGIENE PESSOAL"
7897217404034,"ENX BUCAL JADEPRO 500ML 251 ZERO ALCOOL FRA","PERFUMARIA","HIGIENE PESSOAL"
7897217404041,"ENX BUCAL JADEPRO 500ML 252 CRYSTAL ICE","PERFUMARIA","HIGIENE PESSOAL"
7500435183505,"ENX BUCAL ORAL-B 250ML 100% MENTA S/ALCO","PERFUMARIA","HIGIENE PESSOAL"
7506195129111,"ENX BUCAL ORAL-B 500ML COMP MENT AZ","PERFUMARIA","HIGIENE PESSOAL"
7891051037939,"ENX BUCAL ORAL-B COMPL 250ML HORT VD S/ALCO","PERFUMARIA","HIGIENE PESSOAL"
7891051037878,"ENX BUCAL ORAL-B COMPL 250ML MENT AZ S/ALCO","PERFUMARIA","HIGIENE PESSOAL"
7896464708261,"EQUIPE RESGATE - KIT C/9 COMBEIROS","BAZAR","PRODUTOS INFANTIL"
751320919335,"ERVA CIDREIRA EFRAIM","HORTI-FRUTI","FOLHAGENS"
7898527770178,"ERVA DOCE NATURYS 30G","PRODUTOS NATURAIS","CHAS"
7898938792714,"ERVAS FINAS 50G FLORA","PRODUTOS NATURAIS","CHAS"
7898568951833,"ERVAS FINAS SPIRRO 20G <<< INATIVO >>>","PRODUTOS NATURAIS","CHAS"
7898930142128,"ERVILHA ETTI 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7897517209650,"ERVILHA FUGINI SC 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
17897517209657,"ERVILHA FUGINI SC 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7896041154016,"ERVILHA ODERICH LT 200G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7891032012207,"ERVILHA OLE LT 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
37891032012208,"ERVILHA OLE LT 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7891032012351,"ERVILHA OLE VD 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
27891032012355,"ERVILHA OLE VD 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7896102500493,"ERVILHA QUERO LT 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7896102500837,"ERVILHA QUERO SC 170G","ENLATADOS/CONSERVAS","ERVILHA EM CONSERVA"
7899958209978,"ESC DENT ADULTA GOAL NOVA C/ CERDAS VARIADAS","PERFUMARIA","HIGIENE PESSOAL"
7899958209893,"ESC DENT ADULTO -2221","PERFUMARIA","HIGIENE PESSOAL"
7899958223349,"ESC DENT ADULTO -2221","PERFUMARIA","HIGIENE PESSOAL"
7897217403709,"ESC DENT C/1 JADEPRO 030 POPMAX MACIA CART","PERFUMARIA","HIGIENE PESSOAL"
7897217403402,"ESC DENT C/1 JADEPRO 031 POPMAX MEDIA CART","PERFUMARIA","HIGIENE PESSOAL"
